CATEGORIA;centro_costo;fecha; monto_presupuestado ;version_presupuesto
Administración;OPE001   ;01-12-2025; 1.975.195 ;Budget
Personal;INM003;01-01-2025; 3.108.384 ;Forecast Q1
Personal;OPE001;01-09-2025; 4.628.830 ;Forecast Q2
Personal;MKT001;01-07-2025; 4.906.798 ;Forecast Q1
Administración;MKT002;01-09-2025; 1.472.448 ;Forecast Q1
Personal;MKT001;01-10-2025; 5.955.368 ;Forecast Q1
Activo Fijo;MKT001;01-03-2025; 682.627 ;Forecast Q2
Administración;OPE001;01-08-2025; 2.184.971 ;Forecast Q1
Personal;OPE001;01-03-2025; 4.191.179 ;Forecast Q2
Personal;INM003;01-11-2025; 4.269.202 ;Forecast Q2
Personal;OPE001;01-01-2025; 3.150.093 ;Forecast Q1
Activo Fijo;INM003;01-02-2025; 616.097 ;Forecast Q2
Administración;TEC002;01-07-2025; 1.151.381 ;Forecast Q2
Activo Fijo;INM003;01-02-2025; 1.787.075 ;Forecast Q2
Activo Fijo;TEC001;01-08-2025; 1.859.940 ;Forecast Q1
Activo Fijo;OPE001;01-06-2025; 2.394.416 ;Budget
Activo Fijo;MKT001;01-01-2025; 988.347 ;Forecast Q1
Personal;TEC002;01-04-2025; 3.858.984 ;Budget
Activo Fijo;INM003;01-09-2025; 641.530 ;Forecast Q1
Personal;MKT001;01-02-2025; 5.798.158 ;Forecast Q2
Activo Fijo;INM003;01-06-2025; 1.942.829 ;Budget
Activo Fijo;OPE001;01-05-2025; 597.338 ;Forecast Q1
Administración;MKT001;01-10-2025; 1.047.986 ;Forecast Q1
Activo Fijo;OPE001;01-07-2025; 1.280.984 ;Budget
Activo Fijo;TEC001;01-03-2025; 649.140 ;Forecast Q2
Administración;TEC001;01-03-2025; 2.944.958 ;Forecast Q2
Administración;INM003   ;01-10-2025; 2.172.654 ;Forecast Q2
Administración;TEC002;01-09-2025; 1.768.059 ;Budget
Personal;MKT001;01-07-2025; 4.367.762 ;Budget
Administración;MKT002;01-03-2025; 2.318.455 ;Budget
Personal;MKT002;01-08-2025; 5.972.601 ;Forecast Q2
Administración;MKT002;01-10-2025; 2.540.702 ;Forecast Q2
Administración;MKT001;01-01-2025; 2.619.707 ;Forecast Q2
Activo Fijo;TEC002;01-05-2025; 1.660.505 ;Forecast Q2
Personal;MKT002;01-03-2025; 5.862.384 ;Forecast Q1
Administración;OPE001;01-03-2025; 2.412.950 ;Forecast Q2
Administración;TEC001;01-09-2025; 2.769.343 ;Forecast Q1
Activo Fijo;MKT002;01-09-2025; 1.479.020 ;Forecast Q1
Administración;   MKT001;01-12-2025; 1.166.604 ;Budget
Activo Fijo;TEC002;01-02-2025; 776.096 ;Forecast Q2
Administración;INM003;01-01-2025; 2.689.643 ;Forecast Q1
Administración;TEC001;01-12-2025; 2.352.732 ;Budget
Activo Fijo;MKT002;01-06-2025; 527.896 ;Forecast Q1
Personal;MKT002;01-04-2025; 5.802.891 ;Forecast Q1
Administración;MKT001;01-09-2025; 1.467.175 ;Forecast Q1
Activo Fijo;MKT001;01-11-2025; 1.753.522 ;Budget
Activo Fijo;TEC001;01-04-2025; 2.447.023 ;Forecast Q2
Personal;MKT001;01-03-2025; 3.003.941 ;Forecast Q1
Activo Fijo;OPE001;01-03-2025; 1.137.903 ;Forecast Q1
Activo Fijo;OPE001;01-12-2025; 2.167.370 ;Forecast Q1
Activo Fijo;INM003;01-04-2025; 1.072.446 ;Budget
Activo Fijo;OPE001;01-04-2025; 1.162.815 ;Forecast Q2
Activo Fijo;INM003;01-08-2025; 1.176.728 ;Forecast Q2
Personal;MKT001;01-05-2025; 3.161.695 ;Forecast Q1
Personal;INM003;01-07-2025; 5.164.268 ;Forecast Q2
Activo Fijo;INM003;01-01-2025; 617.939 ;Forecast Q2
Administración;TEC001;01-02-2025; 1.049.752 ;Forecast Q1
Activo Fijo;INM003;01-11-2025; 2.078.289 ;Forecast Q2
Administración;INM003   ;01-05-2025; 2.531.608 ;Budget
Activo Fijo;TEC002;01-11-2025; 796.142 ;Forecast Q2
Administración;MKT001;01-02-2025; 2.757.631 ;Forecast Q2
Personal;MKT001;01-04-2025; 4.574.404 ;Forecast Q2
Administración;TEC001;01-02-2025; 2.127.565 ;Forecast Q2
Activo Fijo;TEC001;01-10-2025; 1.903.703 ;Budget
Personal;INM003;01-06-2025; 3.209.047 ;Forecast Q1
Administración;MKT002;01-06-2025; 1.093.954 ;Forecast Q1
Activo Fijo;INM003;01-06-2025; 2.270.497 ;Forecast Q2
Activo Fijo;TEC002;01-09-2025; 2.396.643 ;Budget
Personal;OPE001;01-09-2025; 5.638.224 ;Forecast Q2
Administración;MKT002;01-01-2025; 2.312.137 ;Forecast Q2
Activo Fijo;TEC001;01-08-2025; 1.439.120 ;Forecast Q1
Administración;MKT002;01-06-2025; 2.118.826 ;Forecast Q2
Administración;MKT001;01-12-2025; 2.092.375 ;Forecast Q1
Administración;OPE001;01-05-2025; 1.980.503 ;Budget
Activo Fijo;MKT001;01-12-2025; 961.496 ;Forecast Q1
Activo Fijo;MKT002;01-04-2025; 1.572.132 ;Forecast Q2
Administración;MKT001;01-02-2025; 1.262.315 ;Forecast Q1
Activo Fijo;INM003;01-02-2025; 1.412.029 ;Forecast Q2
Personal;MKT002;01-06-2025; 4.552.898 ;Forecast Q1
Activo Fijo;TEC001;01-03-2025; 774.155 ;Forecast Q1
Personal;  MKT002;01-03-2025; 3.476.926 ;Forecast Q2
Personal;OPE001;01-03-2025; 4.052.149 ;Budget
Personal;OPE001;01-11-2025; 5.111.126 ;Forecast Q1
Activo Fijo;INM003;01-12-2025; 994.757 ;Forecast Q2
Activo Fijo;OPE001;01-03-2025; 1.143.608 ;Budget
Activo Fijo;TEC002;01-12-2025; 814.315 ;Forecast Q1
Administración;MKT002;01-06-2025; 2.032.034 ;Forecast Q2
Administración;MKT001;01-02-2025; 2.568.830 ;Forecast Q1
Activo Fijo;MKT002;01-11-2025; 2.000.380 ;Forecast Q1
Personal;MKT001;01-05-2025; 4.114.062 ;Forecast Q2
Personal;TEC002;01-12-2025; 3.193.821 ;Budget
Administración;MKT001;01-11-2025; 1.848.056 ;Budget
Administración;INM003;01-10-2025; 2.826.103 ;Forecast Q1
Personal;TEC002;01-04-2025; 3.202.981 ;Forecast Q1
Personal;INM003;01-10-2025; 4.607.993 ;Forecast Q1
Administración;TEC001;01-04-2025; 1.956.086 ;Forecast Q2
Activo Fijo;MKT002;01-07-2025; 2.239.326 ;Forecast Q2
Activo Fijo;TEC001;01-06-2025; 679.685 ;Budget
Personal;MKT001;01-08-2025; 5.283.209 ;Budget
Personal;MKT001;01-06-2025; 3.464.644 ;Budget
Activo Fijo;TEC002;01-04-2025; 1.579.515 ;Forecast Q2
Activo Fijo;OPE001;01-12-2025; 2.124.206 ;Forecast Q2
Administración;TEC002;01-05-2025; 1.091.383 ;Forecast Q1
Activo Fijo;TEC001;01-06-2025; 760.469 ;Budget
Personal;OPE001;01-10-2025; 5.600.662 ;Forecast Q2
Activo Fijo;OPE001;01-05-2025; 2.104.382 ;Forecast Q2
Administración;TEC002;01-05-2025; 2.052.193 ;Forecast Q1
Administración;OPE001;01-07-2025; 2.844.639 ;Forecast Q1
Personal;OPE001;01-08-2025; 5.911.282 ;Forecast Q2
Activo Fijo;TEC001;01-07-2025; 2.366.584 ;Budget
Activo Fijo;MKT002   ;01-11-2025; 1.082.003 ;Budget
Personal;TEC001;01-07-2025; 3.156.957 ;Forecast Q2
Activo Fijo;TEC001;01-06-2025; 658.766 ;Forecast Q1
Activo Fijo;OPE001;01-05-2025; 849.592 ;Forecast Q1
Administración;OPE001;01-05-2025; 1.849.113 ;Budget
Activo Fijo;MKT001;01-12-2025; 2.373.859 ;Budget
Personal;MKT001;01-07-2025; 4.081.195 ;Forecast Q2
Activo Fijo;INM003;01-02-2025; 1.322.721 ;Forecast Q1
Personal;MKT001;01-07-2025; 4.385.321 ;Budget
Activo Fijo;MKT002;01-01-2025; 1.821.557 ;Budget
Administración;TEC001;01-02-2025; 2.787.366 ;Forecast Q1
Administración;MKT002;01-01-2025; 2.874.390 ;Forecast Q2
Activo Fijo;INM003;01-02-2025; 1.024.449 ;Forecast Q1
Activo Fijo;MKT002;01-06-2025; 2.413.504 ;Budget
Activo Fijo;TEC001;01-08-2025; 2.294.908 ;Forecast Q1
Personal;MKT001;01-09-2025; 3.327.790 ;Forecast Q2
Personal;MKT001;01-05-2025; 5.605.589 ;Forecast Q1
Administración;MKT002;01-11-2025; 2.308.908 ;Forecast Q2
Activo Fijo;OPE001;01-03-2025; 2.036.722 ;Budget
Administración;INM003;01-06-2025; 2.207.148 ;Forecast Q1
Activo Fijo;INM003;01-06-2025; 2.483.529 ;Forecast Q1
Activo Fijo;TEC001;01-04-2025; 911.380 ;Forecast Q1
Activo Fijo;TEC002;01-11-2025; 1.900.095 ;Budget
Personal;TEC002;01-04-2025; 4.256.482 ;Forecast Q1
Administración;INM003;01-06-2025; 1.199.910 ;Budget
Administración;MKT001;01-05-2025; 2.179.125 ;Budget
Administración;TEC002;01-01-2025; 1.804.931 ;Budget
Activo Fijo;MKT001;01-06-2025; 1.990.663 ;Forecast Q1
Administración;MKT002;01-01-2025; 2.403.043 ;Budget
Administración;MKT002;01-08-2025; 1.507.208 ;Budget
Activo Fijo;MKT002;01-08-2025; 1.498.568 ;Budget
Activo Fijo;MKT001;01-12-2025; 1.503.224 ;Budget
Personal;   TEC002;01-04-2025; 3.511.858 ;Forecast Q2
Personal;MKT002;01-09-2025; 5.302.423 ;Forecast Q1
Administración;MKT002;01-10-2025; 2.682.312 ;Forecast Q2
Personal;MKT001;01-07-2025; 5.471.914 ;Forecast Q2
Administración;MKT001;01-06-2025; 1.496.107 ;Budget
Personal;MKT002;01-10-2025; 5.057.225 ;Forecast Q1
Administración;INM003;01-09-2025; 2.093.169 ;Forecast Q2
Personal;INM003;01-09-2025; 3.183.899 ;Forecast Q2
Personal;MKT002;01-02-2025; 5.339.408 ;Forecast Q2
Activo Fijo;MKT002;01-03-2025; 713.534 ;Budget
Activo Fijo;INM003;01-03-2025; 1.737.285 ;Forecast Q1
Administración;INM003;01-03-2025; 2.464.303 ;Budget
Administración;TEC002;01-04-2025; 2.400.266 ;Budget
Activo Fijo;TEC001;01-11-2025; 773.148 ;Forecast Q1
Activo Fijo;OPE001;01-02-2025; 2.104.606 ;Forecast Q2
Administración;TEC002;01-11-2025; 1.364.205 ;Forecast Q1
Administración;INM003;01-04-2025; 1.648.544 ;Forecast Q2
Administración;MKT002;01-02-2025; 1.005.489 ;Forecast Q1
Activo Fijo;OPE001;01-08-2025; 1.093.776 ;Budget
Administración;MKT002;01-08-2025; 2.410.177 ;Forecast Q1
Activo Fijo;MKT002;01-09-2025; 2.069.864 ;Budget
Personal;TEC002;01-07-2025; 3.440.016 ;Forecast Q2
Personal;OPE001;01-02-2025; 3.202.175 ;Forecast Q2
Activo Fijo;TEC001;01-11-2025; 1.194.568 ;Forecast Q2
Activo Fijo;TEC002;01-10-2025; 1.956.070 ;Forecast Q2
Personal;MKT002;01-01-2025; 5.402.335 ;Forecast Q1
Personal;MKT001;01-06-2025; 4.335.049 ;Budget
Administración;TEC001;01-01-2025; 1.629.824 ;Forecast Q2
Activo Fijo;MKT001;01-03-2025; 722.392 ;Forecast Q2
Administración;TEC001;01-10-2025; 2.758.954 ;Budget
Activo Fijo;INM003;01-04-2025; 894.097 ;Forecast Q1
Administración;MKT002;01-04-2025; 1.313.012 ;Forecast Q2
Activo Fijo;TEC002;01-11-2025; 576.178 ;Budget
Activo Fijo;TEC002;01-07-2025; 863.266 ;Budget
Activo Fijo;MKT002;01-06-2025; 1.132.133 ;Forecast Q1
Activo Fijo;OPE001;01-04-2025; 2.097.873 ;Budget
Administración;TEC002;01-04-2025; 2.408.518 ;Budget
Administración;TEC002;01-08-2025; 1.910.184 ;Forecast Q2
Activo Fijo;TEC001;01-12-2025; 879.314 ;Forecast Q1
Personal;OPE001;01-08-2025; 5.683.061 ;Forecast Q2
Administración;INM003;01-10-2025; 2.584.556 ;Forecast Q2
Personal;MKT002;01-11-2025; 4.442.403 ;Budget
Activo Fijo;TEC001;01-08-2025; 1.666.684 ;Forecast Q2
Administración;OPE001;01-11-2025; 1.637.386 ;Forecast Q2
Activo Fijo;TEC001;01-08-2025; 1.711.097 ;Forecast Q2
Personal;INM003;01-02-2025; 5.344.834 ;Forecast Q1
Activo Fijo;TEC002;01-10-2025; 1.976.986 ;Forecast Q2
Activo Fijo;TEC002;01-06-2025; 656.676 ;Forecast Q2
Activo Fijo;TEC001;01-03-2025; 913.505 ;Forecast Q2
Personal;MKT002;01-10-2025; 3.218.468 ;Budget
Personal;TEC002;01-03-2025; 4.554.609 ;Budget
Administración;INM003;01-12-2025; 1.784.028 ;Forecast Q2
Activo Fijo;MKT001;01-11-2025; 1.451.167 ;Forecast Q2
Personal;MKT002;01-10-2025; 3.136.560 ;Forecast Q2
Activo Fijo;OPE001;01-01-2025; 1.125.745 ;Forecast Q2
Personal;TEC001;01-11-2025; 5.738.832 ;Forecast Q1
Activo Fijo;MKT002;01-07-2025; 1.730.585 ;Forecast Q1
Activo Fijo;MKT002;01-03-2025; 1.560.401 ;Forecast Q2
Administración;TEC001;01-08-2025; 1.711.304 ;Forecast Q1
Administración;OPE001;01-06-2025; 2.620.246 ;Forecast Q1
Activo Fijo;MKT002;01-06-2025; 1.253.745 ;Forecast Q2
Administración;TEC001;01-09-2025; 2.887.157 ;Budget
Activo Fijo;MKT001;01-01-2025; 646.175 ;Forecast Q1
Administración;MKT002;01-05-2025; 2.374.547 ;Forecast Q1
Activo Fijo;MKT001;01-09-2025; 1.537.717 ;Forecast Q1
Personal;MKT002;01-08-2025; 5.164.871 ;Forecast Q2
Activo Fijo;MKT001;01-08-2025; 2.426.141 ;Budget
Activo Fijo;MKT002;01-03-2025; 1.404.315 ;Forecast Q1
Administración;MKT001;01-11-2025; 1.290.249 ;Forecast Q1
Administración;OPE001;01-02-2025; 2.710.646 ;Forecast Q2
Administración;TEC001;01-12-2025; 1.316.107 ;Forecast Q2
Personal;OPE001;01-06-2025; 5.552.265 ;Forecast Q2
Personal;OPE001;01-05-2025; 4.720.728 ;Budget
Personal;MKT001;01-11-2025; 5.625.911 ;Budget
Personal;TEC002;01-09-2025; 3.019.506 ;Forecast Q2
Activo Fijo;MKT002;01-05-2025; 2.444.310 ;Forecast Q1
Administración;TEC001;01-09-2025; 2.938.453 ;Forecast Q2
Activo Fijo;OPE001;01-06-2025; 617.285 ;Budget
Activo Fijo;TEC001    ;01-11-2025; 795.325 ;Budget
Personal;OPE001;01-07-2025; 5.182.394 ;Budget
Activo Fijo;TEC001;01-12-2025; 1.782.234 ;Forecast Q2
Administración;MKT001;01-09-2025; 2.787.295 ;Forecast Q2
Personal;MKT002;01-03-2025; 4.438.217 ;Forecast Q1
Activo Fijo;OPE001;01-08-2025; 2.324.883 ;Forecast Q2
Personal;MKT002;01-11-2025; 3.751.319 ;Budget
Administración;TEC002;01-02-2025; 2.986.347 ;Budget
Administración;TEC001;01-05-2025; 2.730.356 ;Budget
Personal;TEC001;01-08-2025; 5.935.534 ;Forecast Q1
Administración;TEC001;01-02-2025; 1.051.994 ;Forecast Q2
Activo Fijo;TEC001;01-12-2025; 1.716.827 ;Budget
Personal;OPE001;01-06-2025; 5.276.129 ;Budget
Activo Fijo;INM003;01-02-2025; 513.982 ;Forecast Q1
Administración;MKT002;01-09-2025; 1.070.945 ;Forecast Q2
Administración;TEC002;01-12-2025; 1.810.906 ;Forecast Q2
Activo Fijo;INM003;01-01-2025; 1.944.883 ;Forecast Q2
Administración;INM003;01-12-2025; 2.296.924 ;Budget
Personal;OPE001;01-10-2025; 4.642.807 ;Forecast Q1
Personal;TEC002;01-06-2025; 3.786.646 ;Forecast Q2
Activo Fijo;MKT002;01-05-2025; 2.440.270 ;Forecast Q1
Personal;OPE001;01-08-2025; 5.787.578 ;Forecast Q2
Administración;TEC002;01-07-2025; 1.379.098 ;Forecast Q2
Administración;OPE001;01-02-2025; 2.879.020 ;Forecast Q2
Administración;TEC001;01-06-2025; 2.046.491 ;Forecast Q2
Personal;TEC001;01-08-2025; 3.152.405 ;Forecast Q1
Administración;TEC002;01-02-2025; 1.043.212 ;Forecast Q2
Administración;TEC001;01-05-2025; 1.566.843 ;Forecast Q2
Activo Fijo;MKT001;01-07-2025; 1.829.268 ;Budget
Personal;OPE001;01-01-2025; 3.836.507 ;Budget
Administración;TEC001;01-05-2025; 2.221.658 ;Forecast Q1
Administración;MKT001;01-05-2025; 2.360.202 ;Forecast Q1
Personal;MKT001;01-05-2025; 4.698.704 ;Budget
Administración;INM003;01-01-2025; 2.984.518 ;Forecast Q2
Activo Fijo;TEC002;01-03-2025; 1.222.895 ;Budget
Personal;INM003;01-03-2025; 5.199.022 ;Forecast Q2
Activo Fijo;MKT001;01-09-2025; 561.783 ;Forecast Q2
Personal;TEC001;01-05-2025; 4.438.157 ;Forecast Q1
Personal;MKT001;01-03-2025; 4.314.618 ;Budget
Administración;TEC001;01-10-2025; 1.444.250 ;Forecast Q2
Personal;TEC001;01-02-2025; 5.746.038 ;Forecast Q2
Administración;OPE001;01-05-2025; 1.655.005 ;Forecast Q2
Administración;TEC001;01-04-2025; 1.021.482 ;Forecast Q2
Administración;TEC001;01-06-2025; 1.068.430 ;Forecast Q2
Administración;INM003;01-03-2025; 1.998.396 ;Budget
Administración;INM003;01-08-2025; 1.960.989 ;Forecast Q2
Personal;MKT002;01-03-2025; 3.596.450 ;Budget
Administración;TEC001;01-06-2025; 2.458.511 ;Budget
Administración;TEC002;01-06-2025; 2.920.913 ;Budget
Administración;TEC002;01-11-2025; 1.334.625 ;Budget
Activo Fijo;INM003;01-11-2025; 572.004 ;Budget
Administración;MKT001;01-12-2025; 1.165.496 ;Forecast Q2
Administración;MKT001;01-05-2025; 1.308.610 ;Budget
Administración;INM003;01-01-2025; 1.151.102 ;Forecast Q2
Administración;MKT002;01-04-2025; 1.719.455 ;Forecast Q1
Administración;TEC002;01-05-2025; 1.148.463 ;Forecast Q1
Personal;OPE001;01-07-2025; 4.072.660 ;Forecast Q2
Personal;MKT001;01-02-2025; 3.121.190 ;Forecast Q2
Activo Fijo;MKT002;01-02-2025; 1.885.002 ;Forecast Q2
Activo Fijo;INM003;01-07-2025; 1.761.095 ;Forecast Q1
Activo Fijo;OPE001;01-05-2025; 1.389.158 ;Forecast Q2
Personal;TEC001;01-09-2025; 5.386.120 ;Forecast Q2
Activo Fijo;MKT002;01-08-2025; 1.391.542 ;Forecast Q2
Administración;INM003;01-03-2025; 1.332.409 ;Forecast Q1
Activo Fijo;TEC002;01-02-2025; 654.471 ;Budget
Activo Fijo;MKT001;01-09-2025; 1.281.867 ;Forecast Q1
Administración;TEC002;01-09-2025; 2.254.967 ;Forecast Q1
Personal;MKT002;01-09-2025; 3.842.793 ;Forecast Q2
Administración;OPE001;01-03-2025; 1.299.529 ;Budget
Activo Fijo;INM003;01-05-2025; 2.421.155 ;Forecast Q2
Administración;MKT002;01-10-2025; 2.696.454 ;Budget
Personal;TEC002;01-04-2025; 5.793.511 ;Forecast Q1
Personal;MKT002;01-01-2025; 4.394.071 ;Forecast Q1
Activo Fijo;INM003;01-04-2025; 918.268 ;Forecast Q2
Activo Fijo;MKT002;01-07-2025; 1.608.731 ;Budget
Activo Fijo;TEC002;01-02-2025; 1.309.503 ;Forecast Q1
Personal;INM003;01-03-2025; 4.096.353 ;Forecast Q1
Administración;TEC002;01-12-2025; 2.931.953 ;Forecast Q1
Personal;MKT002;01-03-2025; 4.999.603 ;Forecast Q1
Administración;TEC002;01-05-2025; 2.038.612 ;Forecast Q1
Administración;MKT002;01-02-2025; 1.605.656 ;Forecast Q2
Personal;TEC002;01-12-2025; 4.463.325 ;Forecast Q2
Administración;OPE001;01-08-2025; 1.794.259 ;Forecast Q1
Administración;TEC002;01-06-2025; 2.090.786 ;Budget
Administración;MKT002;01-02-2025; 1.904.340 ;Forecast Q1
Activo Fijo;OPE001;01-01-2025; 1.337.873 ;Forecast Q2
Administración;INM003;01-01-2025; 1.216.261 ;Forecast Q1
Personal;MKT001;01-12-2025; 5.014.611 ;Forecast Q2
Administración;TEC001;01-01-2025; 2.299.302 ;Forecast Q2
Activo Fijo;TEC002;01-02-2025; 1.470.374 ;Forecast Q2
Activo Fijo;OPE001;01-01-2025; 1.308.041 ;Forecast Q2
Administración;TEC002;01-07-2025; 2.235.417 ;Forecast Q2
Activo Fijo;MKT002;01-09-2025; 582.131 ;Budget
Personal;TEC002;01-09-2025; 4.154.580 ;Forecast Q1
Administración;MKT001;01-10-2025; 1.880.531 ;Forecast Q1
Personal;INM003;01-09-2025; 4.437.510 ;Forecast Q2
Personal;INM003;01-07-2025; 5.570.708 ;Forecast Q1
Personal;TEC002;01-06-2025; 4.379.129 ;Forecast Q1
Personal;OPE001;01-05-2025; 3.016.739 ;Forecast Q1
Administración;TEC001;01-05-2025; 2.542.631 ;Budget
Administración;INM003;01-11-2025; 2.984.984 ;Forecast Q2
Personal;MKT001;01-01-2025; 5.569.569 ;Forecast Q2
Activo Fijo;MKT002;01-03-2025; 733.467 ;Budget
Activo Fijo;TEC001;01-08-2025; 829.617 ;Forecast Q1
Activo Fijo;TEC002;01-08-2025; 1.353.755 ;Budget
Activo Fijo;INM003;01-03-2025; 771.834 ;Forecast Q2
Personal;OPE001;01-04-2025; 5.636.856 ;Budget
Activo Fijo;TEC001;01-07-2025; 830.075 ;Budget
Personal;OPE001;01-12-2025; 3.034.493 ;Budget
Personal;TEC002;01-09-2025; 3.009.268 ;Budget
Activo Fijo;MKT001;01-04-2025; 1.742.628 ;Forecast Q2
Activo Fijo;TEC001;01-02-2025; 1.864.810 ;Budget
Administración;TEC001;01-05-2025; 1.017.743 ;Budget
Activo Fijo;TEC001;01-11-2025; 2.254.742 ;Budget
Activo Fijo;TEC002;01-10-2025; 1.718.846 ;Forecast Q2
Activo Fijo;INM003;01-06-2025; 1.349.864 ;Forecast Q1
Activo Fijo;TEC001;01-11-2025; 2.410.780 ;Budget
Administración;MKT002;01-08-2025; 2.344.161 ;Forecast Q2
Administración;INM003;01-03-2025; 1.610.497 ;Forecast Q2
Administración;INM003;01-09-2025; 2.864.192 ;Forecast Q1
Administración;TEC002;01-04-2025; 2.688.328 ;Forecast Q2
Personal;MKT002;01-05-2025; 4.970.671 ;Forecast Q1
Administración;TEC002;01-01-2025; 2.396.168 ;Budget
Administración;MKT001;01-05-2025; 2.184.333 ;Forecast Q2
Activo Fijo;INM003;01-07-2025; 774.539 ;Budget
Activo Fijo;OPE001;01-03-2025; 1.449.016 ;Budget
Personal;MKT001;01-08-2025; 4.860.324 ;Budget
Administración;TEC001;01-12-2025; 1.123.426 ;Budget
Activo Fijo;MKT001;01-09-2025; 2.051.920 ;Forecast Q2
Administración;TEC002;01-05-2025; 1.070.161 ;Forecast Q2
Activo Fijo;OPE001;01-01-2025; 909.364 ;Budget
Activo Fijo;TEC002;01-12-2025; 1.823.140 ;Budget
Activo Fijo;TEC002;01-01-2025; 659.345 ;Forecast Q1
Administración;INM003;01-10-2025; 1.373.666 ;Forecast Q2
Personal;MKT002;01-05-2025; 4.398.357 ;Budget
Activo Fijo;MKT002;01-03-2025; 2.175.893 ;Budget
Personal;MKT001;01-08-2025; 5.811.576 ;Budget
Personal;TEC002;01-03-2025; 5.318.267 ;Forecast Q1
Administración;MKT001;01-07-2025; 1.424.564 ;Forecast Q2
Personal;MKT001;01-03-2025; 5.370.450 ;Forecast Q1
Personal;TEC001;01-10-2025; 4.220.150 ;Budget
Personal;INM003;01-12-2025; 4.497.983 ;Forecast Q1
Activo Fijo;OPE001;01-01-2025; 527.577 ;Forecast Q1
Administración;MKT002;01-11-2025; 2.246.056 ;Budget
Activo Fijo;MKT001;01-03-2025; 999.926 ;Forecast Q2
Activo Fijo;TEC002;01-11-2025; 2.339.492 ;Forecast Q2
Personal;INM003;01-06-2025; 4.975.278 ;Forecast Q2
Personal;TEC002;01-03-2025; 3.660.960 ;Forecast Q2
Personal;MKT001;01-10-2025; 5.558.997 ;Budget
Personal;MKT001;01-09-2025; 3.416.206 ;Budget
Personal;MKT002;01-07-2025; 5.602.504 ;Forecast Q1
Administración;INM003;01-11-2025; 2.403.064 ;Forecast Q1
Activo Fijo;OPE001;01-11-2025; 1.962.992 ;Budget
Administración;MKT001;01-04-2025; 1.271.814 ;Forecast Q1
Activo Fijo;INM003;01-09-2025; 1.892.762 ;Budget
Administración;TEC001;01-05-2025; 1.720.876 ;Forecast Q1
Personal;MKT001;01-02-2025; 4.593.450 ;Forecast Q2
Administración;TEC001;01-09-2025; 2.149.558 ;Forecast Q2
Activo Fijo;INM003;01-12-2025; 1.333.103 ;Forecast Q1
Administración;OPE001;01-08-2025; 2.920.128 ;Budget
Administración;MKT002;01-02-2025; 1.656.728 ;Budget
Administración;TEC001;01-02-2025; 2.872.912 ;Forecast Q1
Administración;INM003;01-02-2025; 2.615.834 ;Budget
Personal;INM003;01-01-2025; 4.800.385 ;Forecast Q2
Personal;MKT002;01-06-2025; 5.625.041 ;Forecast Q1
Administración;TEC001;01-09-2025; 1.494.369 ;Forecast Q2
Administración;TEC001;01-05-2025; 1.612.793 ;Forecast Q1
Administración;MKT002;01-02-2025; 2.393.756 ;Forecast Q2
Personal;MKT001;01-06-2025; 5.627.089 ;Forecast Q1
Activo Fijo;TEC002;01-06-2025; 527.099 ;Forecast Q1
Personal;MKT002;01-01-2025; 3.284.961 ;Forecast Q1
Administración;MKT001;01-08-2025; 2.458.989 ;Budget
Activo Fijo;MKT002;01-12-2025; 597.851 ;Budget
Personal;MKT002;01-03-2025; 3.805.968 ;Forecast Q2
Activo Fijo;MKT002;01-03-2025; 2.288.404 ;Budget
Activo Fijo;MKT001;01-04-2025; 1.900.324 ;Forecast Q1
Administración;MKT002;01-08-2025; 1.204.558 ;Forecast Q2
Activo Fijo;MKT002;01-10-2025; 906.260 ;Forecast Q1
Activo Fijo;INM003;01-07-2025; 1.205.260 ;Forecast Q1
Personal;INM003;01-06-2025; 4.780.368 ;Forecast Q2
Administración;MKT001;01-04-2025; 2.527.019 ;Budget
Activo Fijo;OPE001;01-10-2025; 2.272.863 ;Forecast Q2
Personal;MKT002;01-11-2025; 4.733.147 ;Forecast Q1
Activo Fijo;MKT002;01-12-2025; 1.171.174 ;Forecast Q1
Activo Fijo;TEC002;01-08-2025; 1.773.743 ;Forecast Q2
Activo Fijo;TEC001;01-06-2025; 1.671.615 ;Forecast Q1
Activo Fijo;INM003;01-06-2025; 1.505.483 ;Forecast Q1
Administración;TEC002;01-05-2025; 1.245.436 ;Forecast Q2
Personal;TEC001;01-10-2025; 4.400.540 ;Budget
Personal;INM003;01-08-2025; 3.477.690 ;Forecast Q2
Administración;MKT002;01-05-2025; 2.730.635 ;Budget
Activo Fijo;MKT001;01-04-2025; 2.075.038 ;Forecast Q2
Administración;MKT002;01-02-2025; 1.561.904 ;Forecast Q1
Administración;OPE001;01-11-2025; 2.433.091 ;Forecast Q1
Personal;TEC001;01-04-2025; 4.648.524 ;Forecast Q2
Activo Fijo;TEC001;01-10-2025; 2.307.983 ;Budget
Personal;INM003;01-04-2025; 5.679.098 ;Budget
Administración;TEC002;01-09-2025; 2.921.937 ;Forecast Q2
Activo Fijo;OPE001;01-12-2025; 1.516.579 ;Forecast Q1
Personal;TEC001;01-02-2025; 4.363.535 ;Budget
Personal;OPE001;01-07-2025; 3.972.606 ;Budget
Activo Fijo;MKT002;01-12-2025; 2.122.742 ;Forecast Q2
Administración;MKT001;01-07-2025; 2.038.217 ;Forecast Q1
Activo Fijo;TEC002;01-05-2025; 1.704.524 ;Forecast Q2
