id_gasto;fecha;centro_costo;categoria;subcategoria; monto 
1312;12-10-2025;OPE003;Administración;Arriendos; 239.443 
1313;17-07-2025;MKT003;Personal;Sueldos; 2.020.013 
1314;19-01-2025;TEC001;Administración;Servicios; 2.466.049 
1315;12-09-2025;MKT004;Administración;Arriendos; 4.207.594 
1316;25-03-2025;OPE004;Activo Fijo;Equipos; 4.362.574 
1317;14-10-2025;OPE004;Administración;Arriendos; 1.410.574 
1318;27-08-2025;MKT004;Activo Fijo;Equipos; 917.418 
1319;13-03-2025;INM005;Administración;Arriendos; 229.371 
1320;21-04-2025;MKT001;Administración;Servicios; 4.918.681 
1321;26-07-2025;MKT002;Personal;Bonos; 3.449.055 
1322;16-11-2025;OPE003;Activo Fijo;Infraestructura; 1.186.385 
1323;28-08-2025;MKT002;Personal;Sueldos; 792.385 
1324;21-08-2025;INM004;Administración;Arriendos; 920.872 
1325;17-12-2025;TEC001;Administración;Arriendos; 1.075.716 
1326;20-09-2025;MKT005;Activo Fijo;Equipos; 4.084.915 
1327;06-10-2025;TEC002;Activo Fijo;Equipos; 3.348.671 
1328;23-09-2025;MKT004;Activo Fijo;Infraestructura; 513.530 
1329;11-10-2025;MKT004;Activo Fijo;Equipos; 322.666 
1330;11-10-2025;TEC005;Administración;Arriendos; 2.956.376 
1331;21-05-2025;OPE003;Personal;Sueldos; 2.403.875 
1332;10-02-2025;OPE002;Personal;Bonos; 4.669.302 
1333;27-06-2025;INM003;Administración;Servicios; 1.447.583 
1334;18-04-2025;MKT005;Personal;Bonos; 1.834.999 
1335;25-04-2025;MKT004;Activo Fijo;Infraestructura; 379.186 
1336;12-08-2025;TEC005;Activo Fijo;Infraestructura; 3.041.244 
1337;16-12-2025;MKT004;Personal;Sueldos; 659.381 
1338;09-10-2025;INM005;Personal;Bonos; 747.907 
1339;10-11-2025;INM002;Personal;Sueldos; 3.777.428 
1340;15-06-2025;INM005;Activo Fijo;Equipos; 2.463.178 
1341;09-10-2025;MKT003;Activo Fijo;Infraestructura; 4.353.782 
1342;10-07-2025;MKT002;Personal;Bonos; 3.148.163 
1343;06-07-2025;OPE005;Personal;Sueldos; 4.794.368 
1344;02-06-2025;MKT001;Personal;Bonos; 342.350 
1345;09-11-2025;TEC004;Personal;Bonos; 4.803.760 
1346;13-06-2025;MKT003;Personal;Bonos; 4.440.574 
1347;14-04-2025;TEC005;Activo Fijo;Equipos; 734.624 
1348;10-08-2025;TEC002;Activo Fijo;Equipos; 1.809.284 
1349;06-01-2025;TEC004;Activo Fijo;Infraestructura; 157.995 
1350;05-03-2025;TEC003;Personal;Sueldos; 4.768.184 
1351;27-04-2025;MKT004;Administración;Arriendos; 2.517.258 
1352;27-11-2025;INM005;Personal;Sueldos; 3.920.062 
1353;26-10-2025;INM003;Personal;Bonos; 2.560.586 
1354;10-06-2025;INM001;Administración;Servicios; 2.937.215 
1355;24-12-2025;OPE002;Administración;Arriendos; 2.920.314 
1356;27-09-2025;TEC002;Administración;Servicios; 741.699 
1357;09-04-2025;TEC003;Activo Fijo;Equipos; 144.375 
1358;16-01-2025;MKT005;Personal;Bonos; 433.464 
1359;11-11-2025;TEC001;Personal;Sueldos; 3.744.817 
1360;05-07-2025;INM003;Personal;Bonos; 1.957.266 
1361;24-05-2025;OPE002;Activo Fijo;Equipos; 2.492.726 
1362;11-11-2025;MKT005;Administración;Arriendos; 1.761.604 
1363;24-06-2025;OPE003;Administración;Servicios; 638.724 
1364;20-11-2025;OPE002;Activo Fijo;Equipos; 2.878.869 
1365;18-12-2025;OPE005;Personal;Sueldos; 973.179 
1366;06-08-2025;TEC003;Administración;Arriendos; 2.182.844 
1367;23-06-2025;MKT003;Activo Fijo;Equipos; 2.699.044 
1368;11-03-2025;INM005;Personal;Sueldos; 1.759.336 
1369;16-02-2025;TEC002;Personal;Sueldos; 1.998.413 
1370;27-10-2025;TEC001;Personal;Sueldos; 664.800 
1371;22-11-2025;TEC004;Administración;Arriendos; 3.076.946 
1372;06-06-2025;TEC003;Activo Fijo;Equipos; 3.356.496 
1373;27-02-2025;MKT002;Administración;Servicios; 512.339 
1374;22-04-2025;INM004;Activo Fijo;Equipos; 4.135.711 
1375;24-07-2025;INM003;Administración;Servicios; 3.583.281 
1376;13-01-2025;TEC005;Personal;Bonos; 3.962.076 
1377;01-11-2025;TEC003;Activo Fijo;Infraestructura; 3.259.167 
1378;16-03-2025;MKT001;Personal;Sueldos; 2.386.620 
1379;22-03-2025;MKT002;Activo Fijo;Equipos; 4.907.046 
1380;01-10-2025;MKT004;Activo Fijo;Equipos; 4.948.471 
1381;26-06-2025;MKT005;Activo Fijo;Equipos; 1.589.753 
1382;02-02-2025;MKT003;Activo Fijo;Infraestructura; 3.730.600 
1383;12-03-2025;MKT003;Personal;Sueldos; 4.084.630 
1384;19-05-2025;TEC005;Activo Fijo;Equipos; 463.130 
1385;23-09-2025;TEC002;Activo Fijo;Infraestructura; 1.952.616 
1386;19-02-2025;INM004;Administración;Servicios; 2.859.841 
1387;20-05-2025;TEC001;Activo Fijo;Infraestructura; 65.058 
1388;05-12-2025;TEC003;Activo Fijo;Equipos; 4.154.894 
1389;01-09-2025;INM003;Personal;Sueldos; 742.113 
1390;17-05-2025;INM004;Personal;Bonos; 4.960.714 
1391;08-06-2025;OPE005;Activo Fijo;Infraestructura; 3.486.153 
1392;18-09-2025;OPE005;Activo Fijo;Infraestructura; 3.849.672 
1393;12-05-2025;TEC004;Administración;Arriendos; 4.614.152 
1394;10-02-2025;TEC003;Administración;Arriendos; 848.563 
1395;19-01-2025;OPE001;Administración;Arriendos; 3.790.091 
1396;22-01-2025;MKT004;Personal;Sueldos; 4.957.020 
1397;20-05-2025;TEC004;Activo Fijo;Equipos; 4.127.833 
1398;04-10-2025;OPE004;Administración;Servicios; 564.337 
1399;26-06-2025;OPE002;Administración;Servicios; 4.982.237 
1400;07-04-2025;OPE003;Administración;Arriendos; 3.491.939 
1401;09-07-2025;OPE004;Personal;Sueldos; 2.132.973 
1402;15-01-2025;INM001;Administración;Arriendos; 104.080 
1403;10-07-2025;OPE002;Activo Fijo;Equipos; 809.937 
1404;28-02-2025;TEC004;Administración;Servicios; 1.353.255 
1405;03-10-2025;OPE002;Personal;Bonos; 1.212.927 
1406;18-11-2025;OPE002;Personal;Bonos; 2.969.706 
1407;26-11-2025;INM004;Administración;Arriendos; 4.126.366 
1408;27-07-2025;OPE002;Administración;Servicios; 3.096.986 
1409;15-12-2025;INM001;Personal;Sueldos; 4.088.136 
1410;22-11-2025;TEC001;Administración;Servicios; 850.603 
1411;07-08-2025;TEC003;Activo Fijo;Infraestructura; 4.927.189 
1412;12-12-2025;TEC004;Activo Fijo;Infraestructura; 3.197.252 
1413;11-12-2025;INM003;Personal;Sueldos; 3.018.159 
1414;02-11-2025;MKT001;Personal;Bonos; 4.474.791 
1415;18-09-2025;INM003;Personal;Bonos; 2.268.765 
1416;21-10-2025;MKT001;Personal;Bonos; 2.813.045 
1417;22-04-2025;MKT002;Personal;Bonos; 2.570.018 
1418;07-04-2025;MKT004;Administración;Arriendos; 2.898.104 
1419;07-10-2025;TEC002;Administración;Arriendos; 3.258.464 
1420;04-07-2025;MKT005;Personal;Sueldos; 4.690.471 
1421;22-08-2025;INM005;Personal;Sueldos; 3.624.886 
1422;01-08-2025;INM001;Administración;Servicios; 1.986.716 
1423;20-02-2025;MKT005;Administración;Servicios; 506.236 
1424;25-07-2025;OPE005;Activo Fijo;Infraestructura; 224.808 
1425;17-02-2025;OPE001;Administración;Arriendos; 2.773.656 
1426;05-10-2025;INM001;Administración;Arriendos; 810.609 
1427;08-04-2025;INM001;Administración;Servicios; 4.709.804 
1428;20-05-2025;OPE003;Personal;Bonos; 4.552.146 
1429;09-09-2025;MKT002;Personal;Bonos; 4.946.585 
1430;22-06-2025;OPE002;Administración;Servicios; 50.456 
1431;05-04-2025;OPE001;Activo Fijo;Infraestructura; 4.250.036 
1432;28-10-2025;INM005;Personal;Bonos; 1.134.318 
1433;11-11-2025;MKT001;Administración;Arriendos; 1.201.207 
1434;26-07-2025;OPE005;Personal;Bonos; 3.260.039 
1435;04-11-2025;INM005;Personal;Bonos; 1.130.686 
1436;05-07-2025;INM004;Administración;Arriendos; 4.576.745 
1437;06-12-2025;OPE002;Personal;Bonos; 3.593.113 
1438;14-02-2025;OPE002;Activo Fijo;Equipos; 4.567.572 
1439;15-01-2025;INM002;Personal;Sueldos; 3.779.997 
1440;18-05-2025;MKT004;Personal;Sueldos; 115.903 
1441;24-04-2025;MKT003;Administración;Arriendos; 2.907.091 
1442;25-06-2025;INM003;Activo Fijo;Equipos; 4.377.535 
1443;22-01-2025;OPE005;Activo Fijo;Equipos; 1.401.053 
1444;23-12-2025;OPE003;Personal;Bonos; 4.300.896 
1445;17-05-2025;INM003;Administración;Servicios; 2.902.630 
1446;25-05-2025;INM003;Personal;Sueldos; 3.683.569 
1447;26-01-2025;TEC004;Administración;Arriendos; 2.210.851 
1448;08-08-2025;OPE004;Activo Fijo;Equipos; 2.196.592 
1449;24-09-2025;TEC003;Administración;Arriendos; 1.681.150 
1450;23-10-2025;MKT003;Administración;Arriendos; 3.796.427 
1451;15-11-2025;OPE005;Activo Fijo;Equipos; 569.340 
1452;21-04-2025;OPE001;Administración;Servicios; 2.130.851 
1453;16-03-2025;MKT004;Administración;Arriendos; 4.342.906 
1454;07-07-2025;MKT004;Administración;Servicios; 4.524.386 
1455;09-09-2025;OPE004;Administración;Servicios; 1.587.938 
1456;21-12-2025;TEC002;Administración;Arriendos; 1.671.343 
1457;10-10-2025;TEC002;Administración;Servicios; 4.561.902 
1458;10-03-2025;TEC005;Activo Fijo;Equipos; 1.106.513 
1459;02-04-2025;TEC001;Administración;Arriendos; 4.307.292 
1460;17-08-2025;TEC001;Personal;Bonos; 3.682.206 
1461;10-06-2025;MKT002;Administración;Arriendos; 3.356.543 
1462;18-08-2025;TEC005;Personal;Sueldos; 603.683 
1463;11-02-2025;MKT003;Activo Fijo;Equipos; 3.324.001 
1464;13-08-2025;OPE005;Personal;Bonos; 456.405 
1465;06-12-2025;INM003;Administración;Servicios; 2.395.015 
1466;03-10-2025;TEC002;Administración;Arriendos; 621.274 
1467;05-05-2025;MKT003;Personal;Sueldos; 4.590.550 
1468;08-03-2025;MKT001;Personal;Bonos; 4.617.191 
1469;14-07-2025;INM004;Personal;Sueldos; 3.487.071 
1470;14-06-2025;TEC002;Administración;Servicios; 1.134.915 
1471;04-10-2025;MKT002;Activo Fijo;Infraestructura; 706.447 
1472;07-12-2025;TEC002;Administración;Servicios; 3.665.836 
1473;07-06-2025;INM004;Administración;Servicios; 3.917.140 
1474;20-07-2025;OPE004;Personal;Bonos; 3.607.779 
1475;08-06-2025;MKT004;Personal;Sueldos; 735.942 
1476;06-01-2025;TEC005;Personal;Bonos; 1.752.738 
1477;01-10-2025;OPE004;Administración;Arriendos; 3.117.166 
1478;17-10-2025;INM003;Activo Fijo;Infraestructura; 4.319.280 
1479;15-06-2025;TEC004;Personal;Bonos; 1.563.438 
1480;07-06-2025;INM001;Personal;Sueldos; 194.445 
1481;23-02-2025;TEC005;Activo Fijo;Equipos; 3.386.573 
1482;22-05-2025;OPE002;Administración;Servicios; 1.748.089 
1483;27-07-2025;INM003;Activo Fijo;Infraestructura; 2.330.579 
1484;18-08-2025;TEC002;Administración;Arriendos; 4.162.132 
1485;25-09-2025;OPE002;Administración;Servicios; 192.676 
1486;09-06-2025;OPE005;Personal;Sueldos; 2.507.354 
1487;12-07-2025;INM001;Personal;Sueldos; 4.998.166 
1488;18-11-2025;INM003;Activo Fijo;Equipos; 1.868.692 
1489;24-12-2025;MKT003;Personal;Sueldos; 1.856.039 
1490;07-04-2025;OPE001;Activo Fijo;Equipos; 2.487.420 
1491;18-06-2025;TEC004;Personal;Bonos; 1.753.028 
1492;21-01-2025;INM003;Personal;Bonos; 909.028 
1493;10-09-2025;INM005;Activo Fijo;Equipos; 2.262.978 
1494;01-09-2025;TEC003;Personal;Bonos; 624.521 
1495;09-06-2025;TEC001;Activo Fijo;Infraestructura; 4.838.188 
1496;17-08-2025;MKT004;Administración;Arriendos; 541.041 
1497;22-07-2025;MKT002;Personal;Sueldos; 3.613.422 
1498;14-05-2025;TEC005;Personal;Sueldos; 273.103 
1499;22-09-2025;TEC003;Activo Fijo;Equipos; 821.509 
1500;12-12-2025;INM002;Personal;Sueldos; 4.775.135 
1501;07-05-2025;TEC001;Personal;Bonos; 815.565 
1502;16-02-2025;TEC005;Administración;Servicios; 2.951.179 
1503;06-09-2025;INM002;Activo Fijo;Infraestructura; 3.236.554 
1504;09-07-2025;INM003;Activo Fijo;Infraestructura; 4.209.795 
1505;16-08-2025;INM004;Administración;Servicios; 770.418 
1506;23-02-2025;TEC002;Personal;Sueldos; 4.442.592 
1507;12-08-2025;MKT004;Personal;Bonos; 177.939 
1508;20-12-2025;TEC004;Personal;Bonos; 4.285.047 
1509;11-05-2025;MKT003;Personal;Sueldos; 3.856.700 
1510;11-12-2025;OPE004;Administración;Arriendos; 2.753.366 
1511;25-02-2025;OPE005;Activo Fijo;Infraestructura; 1.856.964 
1512;04-06-2025;INM001;Activo Fijo;Infraestructura; 1.876.654 
1513;23-04-2025;INM002;Personal;Sueldos; 2.709.741 
1514;22-04-2025;TEC004;Activo Fijo;Infraestructura; 1.822.925 
1515;12-11-2025;OPE001;Activo Fijo;Equipos; 377.840 
1516;09-02-2025;MKT003;Activo Fijo;Equipos; 462.539 
1517;07-07-2025;MKT004;Activo Fijo;Equipos; 486.248 
1518;27-12-2025;MKT004;Activo Fijo;Equipos; 1.542.655 
1519;14-05-2025;MKT002;Personal;Sueldos; 529.775 
1520;22-01-2025;OPE002;Administración;Servicios; 2.612.189 
1521;02-04-2025;OPE005;Activo Fijo;Equipos; 4.447.718 
1522;12-02-2025;TEC001;Activo Fijo;Infraestructura; 2.370.574 
1523;23-06-2025;TEC002;Administración;Servicios; 4.597.788 
1524;04-07-2025;OPE005;Personal;Bonos; 4.700.271 
1525;07-11-2025;MKT003;Personal;Sueldos; 935.405 
1526;10-08-2025;INM003;Administración;Arriendos; 1.610.939 
1527;06-09-2025;MKT002;Personal;Sueldos; 3.495.583 
1528;18-09-2025;OPE001;Administración;Servicios; 4.592.327 
1529;04-05-2025;TEC005;Administración;Arriendos; 3.575.683 
1530;26-04-2025;TEC002;Activo Fijo;Equipos; 2.843.108 
1531;02-09-2025;TEC002;Activo Fijo;Infraestructura; 753.676 
1532;09-11-2025;INM001;Administración;Arriendos; 1.899.339 
1533;04-06-2025;INM001;Personal;Sueldos; 3.985.103 
1534;12-07-2025;MKT005;Administración;Servicios; 1.209.388 
1535;09-11-2025;TEC003;Activo Fijo;Equipos; 4.239.116 
1536;15-06-2025;TEC004;Personal;Sueldos; 1.551.838 
1537;09-03-2025;MKT002;Administración;Arriendos; 3.436.548 
1538;10-02-2025;OPE003;Activo Fijo;Equipos; 2.392.631 
1539;10-09-2025;MKT001;Activo Fijo;Equipos; 4.244.418 
1540;17-07-2025;INM001;Personal;Bonos; 4.793.095 
1541;21-11-2025;TEC004;Personal;Sueldos; 1.489.085 
1542;14-08-2025;MKT003;Activo Fijo;Equipos; 4.854.554 
1543;13-08-2025;OPE001;Administración;Arriendos; 406.159 
1544;09-06-2025;TEC005;Activo Fijo;Infraestructura; 4.292.220 
1545;22-03-2025;INM001;Administración;Servicios; 705.856 
1546;25-04-2025;OPE004;Personal;Bonos; 2.991.234 
1547;25-09-2025;MKT002;Personal;Bonos; 716.309 
1548;20-12-2025;TEC004;Personal;Sueldos; 4.118.017 
1549;22-11-2025;TEC001;Administración;Servicios; 2.107.983 
1550;07-05-2025;INM002;Administración;Arriendos; 646.230 
1551;20-08-2025;INM004;Personal;Bonos; 2.115.875 
1552;15-07-2025;OPE001;Administración;Arriendos; 4.454.250 
1553;06-10-2025;MKT002;Administración;Arriendos; 2.717.040 
1554;22-05-2025;INM005;Administración;Servicios; 2.963.171 
1555;23-01-2025;TEC004;Activo Fijo;Infraestructura; 4.542.863 
1556;02-01-2025;INM004;Administración;Arriendos; 1.558.967 
1557;06-07-2025;MKT004;Administración;Arriendos; 3.557.833 
1558;22-09-2025;TEC005;Personal;Bonos; 3.055.501 
1559;07-04-2025;MKT001;Personal;Sueldos; 856.687 
1560;12-03-2025;MKT003;Administración;Servicios; 4.206.504 
1561;18-11-2025;INM002;Activo Fijo;Infraestructura; 1.923.312 
1562;26-08-2025;TEC001;Administración;Servicios; 861.367 
1563;20-11-2025;MKT004;Personal;Bonos; 1.896.667 
1564;16-11-2025;TEC004;Personal;Bonos; 4.130.677 
1565;19-09-2025;INM001;Personal;Bonos; 399.111 
1566;17-09-2025;TEC001;Administración;Servicios; 4.396.786 
1567;26-12-2025;OPE004;Administración;Servicios; 101.140 
1568;27-12-2025;OPE002;Administración;Servicios; 1.516.818 
1569;02-04-2025;OPE003;Activo Fijo;Infraestructura; 819.888 
1570;24-11-2025;OPE001;Activo Fijo;Equipos; 2.896.378 
1571;11-12-2025;INM001;Personal;Bonos; 4.883.995 
1572;20-05-2025;TEC004;Personal;Bonos; 4.493.113 
1573;23-04-2025;INM004;Activo Fijo;Equipos; 2.058.712 
1574;23-09-2025;TEC002;Activo Fijo;Equipos; 3.975.725 
1575;09-04-2025;OPE002;Personal;Bonos; 4.250.469 
1576;04-02-2025;INM005;Personal;Bonos; 4.587.317 
1577;18-04-2025;MKT004;Administración;Arriendos; 4.707.609 
1578;19-02-2025;INM005;Administración;Servicios; 1.302.057 
1579;15-05-2025;MKT001;Activo Fijo;Infraestructura; 3.853.478 
1580;22-12-2025;TEC003;Activo Fijo;Infraestructura; 1.618.927 
1581;02-09-2025;TEC002;Personal;Bonos; 4.335.822 
1582;26-05-2025;TEC005;Activo Fijo;Infraestructura; 4.619.804 
1583;15-11-2025;OPE002;Personal;Sueldos; 4.341.238 
1584;04-08-2025;TEC002;Activo Fijo;Infraestructura; 2.401.000 
1585;11-09-2025;MKT001;Activo Fijo;Infraestructura; 2.055.551 
1586;27-07-2025;OPE001;Administración;Arriendos; 4.566.770 
1587;04-09-2025;MKT001;Activo Fijo;Infraestructura; 1.586.391 
1588;24-08-2025;INM002;Administración;Servicios; 3.902.165 
1589;12-02-2025;TEC002;Activo Fijo;Equipos; 1.225.456 
1590;16-11-2025;INM004;Personal;Sueldos; 128.818 
1591;18-02-2025;INM005;Activo Fijo;Infraestructura; 2.550.380 
1592;21-07-2025;TEC003;Administración;Arriendos; 3.980.571 
1593;20-07-2025;INM001;Personal;Bonos; 4.094.789 
1594;03-06-2025;TEC003;Personal;Bonos; 258.257 
1595;23-04-2025;MKT005;Activo Fijo;Infraestructura; 868.577 
1596;26-10-2025;MKT004;Activo Fijo;Equipos; 3.437.491 
1597;09-11-2025;MKT003;Activo Fijo;Infraestructura; 460.744 
1598;08-07-2025;OPE002;Administración;Arriendos; 3.213.902 
1599;25-07-2025;OPE002;Activo Fijo;Equipos; 2.942.682 
1600;19-04-2025;OPE001;Personal;Sueldos; 1.729.903 
1601;21-08-2025;MKT004;Administración;Servicios; 801.934 
1602;13-10-2025;TEC003;Activo Fijo;Equipos; 4.668.139 
1603;02-01-2025;TEC003;Activo Fijo;Equipos; 4.572.573 
1604;10-06-2025;TEC002;Personal;Sueldos; 947.299 
1605;25-08-2025;TEC003;Personal;Sueldos; 2.515.692 
1606;13-12-2025;MKT001;Activo Fijo;Equipos; 3.001.261 
1607;28-08-2025;TEC004;Administración;Servicios; 2.418.428 
1608;12-03-2025;OPE005;Personal;Bonos; 1.246.460 
1609;27-01-2025;OPE003;Activo Fijo;Infraestructura; 3.216.524 
1610;12-02-2025;TEC001;Activo Fijo;Equipos; 2.970.850 
1611;01-05-2025;MKT004;Administración;Servicios; 4.108.330 
1612;20-11-2025;MKT003;Activo Fijo;Equipos; 2.855.287 
1613;07-07-2025;OPE001;Administración;Servicios; 2.452.932 
1614;09-02-2025;MKT004;Activo Fijo;Infraestructura; 3.416.598 
1615;10-09-2025;INM005;Administración;Arriendos; 100.616 
1616;17-05-2025;MKT001;Administración;Servicios; 3.038.609 
1617;05-11-2025;MKT003;Personal;Bonos; 1.540.860 
1618;20-03-2025;MKT001;Personal;Sueldos; 2.908.501 
1619;13-02-2025;MKT005;Personal;Sueldos; 162.802 
1620;18-10-2025;OPE002;Administración;Arriendos; 480.461 
1621;21-08-2025;MKT005;Personal;Sueldos; 967.159 
1622;26-03-2025;TEC002;Activo Fijo;Infraestructura; 954.496 
1623;17-07-2025;INM001;Activo Fijo;Equipos; 2.688.396 
1624;16-04-2025;MKT004;Personal;Sueldos; 4.023.520 
1625;18-12-2025;OPE001;Administración;Servicios; 2.532.250 
1626;14-03-2025;OPE001;Activo Fijo;Infraestructura; 4.249.375 
1627;25-04-2025;INM005;Administración;Servicios; 3.390.827 
1628;15-03-2025;INM003;Activo Fijo;Infraestructura; 1.291.082 
1629;03-06-2025;OPE002;Personal;Bonos; 3.314.472 
1630;11-09-2025;INM001;Personal;Sueldos; 4.086.651 
1631;17-04-2025;INM002;Activo Fijo;Equipos; 4.259.414 
1632;26-01-2025;OPE005;Activo Fijo;Equipos; 1.289.008 
1633;27-01-2025;INM002;Personal;Sueldos; 3.883.907 
1634;16-01-2025;INM001;Activo Fijo;Equipos; 2.589.821 
1635;10-10-2025;OPE001;Activo Fijo;Infraestructura; 3.589.012 
1636;27-05-2025;MKT004;Personal;Sueldos; 1.525.139 
1637;15-05-2025;TEC004;Administración;Arriendos; 4.408.913 
1638;28-08-2025;INM001;Activo Fijo;Equipos; 3.894.056 
1639;05-12-2025;MKT001;Administración;Arriendos; 1.152.329 
1640;05-12-2025;INM004;Activo Fijo;Infraestructura; 3.097.747 
1641;09-07-2025;OPE003;Activo Fijo;Equipos; 2.061.598 
1642;06-07-2025;OPE004;Administración;Servicios; 1.569.763 
1643;17-10-2025;MKT003;Administración;Servicios; 4.595.425 
1644;22-11-2025;OPE002;Activo Fijo;Infraestructura; 4.688.061 
1645;22-01-2025;OPE004;Administración;Arriendos; 621.576 
1646;12-06-2025;INM002;Personal;Sueldos; 697.391 
1647;20-01-2025;INM005;Personal;Sueldos; 4.959.229 
1648;24-09-2025;INM001;Administración;Arriendos; 1.455.202 
1649;27-05-2025;MKT005;Personal;Sueldos; 3.068.091 
1650;19-06-2025;OPE003;Activo Fijo;Equipos; 731.436 
1651;17-02-2025;TEC005;Activo Fijo;Infraestructura; 2.804.119 
1652;25-10-2025;INM004;Activo Fijo;Infraestructura; 2.706.783 
1653;24-02-2025;OPE001;Personal;Sueldos; 1.797.688 
1654;08-10-2025;TEC004;Administración;Arriendos; 3.521.277 
1655;08-01-2025;INM001;Personal;Sueldos; 1.127.799 
1656;08-05-2025;OPE003;Administración;Arriendos; 2.187.490 
1657;25-05-2025;INM001;Personal;Sueldos; 4.240.890 
1658;17-03-2025;TEC004;Activo Fijo;Infraestructura; 64.187 
1659;04-07-2025;INM001;Administración;Arriendos; 4.098.603 
1660;19-02-2025;MKT005;Personal;Bonos; 4.328.828 
1661;02-06-2025;INM002;Activo Fijo;Equipos; 3.314.558 
1662;17-04-2025;OPE001;Activo Fijo;Infraestructura; 1.516.269 
1663;05-05-2025;MKT004;Administración;Arriendos; 1.911.535 
1664;04-08-2025;TEC001;Personal;Sueldos; 2.000.792 
1665;07-03-2025;TEC002;Administración;Arriendos; 4.642.442 
1666;12-12-2025;TEC004;Personal;Sueldos; 1.487.147 
1667;08-08-2025;MKT003;Activo Fijo;Equipos; 2.576.744 
1668;16-10-2025;TEC001;Administración;Arriendos; 839.822 
1669;21-06-2025;OPE004;Personal;Sueldos; 1.805.703 
1670;22-06-2025;INM001;Activo Fijo;Infraestructura; 416.543 
1671;02-07-2025;MKT002;Personal;Bonos; 184.592 
1672;10-05-2025;INM003;Personal;Bonos; 3.861.038 
1673;09-07-2025;TEC001;Administración;Servicios; 3.502.176 
1674;11-09-2025;OPE005;Administración;Servicios; 3.347.691 
1675;27-10-2025;MKT005;Personal;Bonos; 4.104.601 
1676;15-03-2025;MKT002;Personal;Sueldos; 2.068.189 
1677;09-06-2025;OPE004;Personal;Sueldos; 3.000.851 
1678;24-01-2025;INM001;Activo Fijo;Infraestructura; 4.371.789 
1679;12-12-2025;OPE002;Activo Fijo;Infraestructura; 826.637 
1680;01-07-2025;OPE004;Activo Fijo;Equipos; 1.796.599 
1681;20-03-2025;INM005;Personal;Sueldos; 3.138.409 
1682;15-03-2025;TEC001;Personal;Bonos; 3.043.393 
1683;28-11-2025;TEC004;Administración;Arriendos; 1.297.686 
1684;13-04-2025;TEC003;Personal;Sueldos; 2.538.323 
1685;16-06-2025;INM003;Personal;Sueldos; 1.220.558 
1686;05-06-2025;MKT003;Administración;Servicios; 1.459.454 
1687;03-02-2025;INM005;Personal;Bonos; 294.060 
1688;14-07-2025;TEC002;Activo Fijo;Equipos; 1.526.385 
1689;18-03-2025;OPE003;Activo Fijo;Infraestructura; 2.755.228 
1690;07-06-2025;TEC003;Activo Fijo;Infraestructura; 4.554.896 
1691;22-01-2025;INM003;Personal;Bonos; 1.878.358 
1692;23-12-2025;OPE005;Activo Fijo;Equipos; 2.931.397 
1693;14-04-2025;OPE005;Administración;Servicios; 3.965.715 
1694;12-04-2025;TEC004;Personal;Sueldos; 2.962.905 
1695;09-11-2025;MKT003;Activo Fijo;Equipos; 4.017.444 
1696;20-07-2025;INM004;Administración;Arriendos; 246.039 
1697;21-06-2025;INM002;Activo Fijo;Infraestructura; 1.261.141 
1698;15-07-2025;INM001;Administración;Arriendos; 930.347 
1699;20-04-2025;TEC004;Activo Fijo;Infraestructura; 4.621.599 
1700;24-06-2025;INM003;Personal;Sueldos; 1.071.521 
1701;24-12-2025;MKT004;Personal;Bonos; 4.087.769 
1702;20-03-2025;OPE002;Personal;Bonos; 3.961.519 
1703;28-09-2025;TEC001;Activo Fijo;Equipos; 2.354.893 
1704;18-07-2025;MKT005;Administración;Servicios; 940.925 
1705;27-09-2025;INM004;Activo Fijo;Infraestructura; 4.745.579 
1706;10-07-2025;OPE001;Activo Fijo;Equipos; 338.229 
1707;07-06-2025;MKT002;Administración;Arriendos; 4.192.620 
1708;20-11-2025;MKT005;Administración;Arriendos; 1.591.471 
1709;15-09-2025;INM002;Personal;Sueldos; 2.726.430 
1710;27-03-2025;INM004;Activo Fijo;Equipos; 3.680.761 
1711;17-04-2025;TEC003;Activo Fijo;Equipos; 2.486.587 
1712;22-08-2025;TEC002;Personal;Bonos; 4.716.041 
1713;08-09-2025;MKT001;Personal;Sueldos; 3.562.747 
1714;11-11-2025;MKT003;Personal;Bonos; 687.729 
1715;26-06-2025;OPE003;Activo Fijo;Equipos; 1.028.737 
1716;08-01-2025;OPE001;Activo Fijo;Infraestructura; 1.753.617 
1717;25-02-2025;INM003;Personal;Sueldos; 3.079.475 
1718;02-01-2025;MKT004;Administración;Servicios; 901.635 
1719;14-09-2025;MKT003;Administración;Arriendos; 1.012.370 
1720;03-08-2025;MKT004;Administración;Servicios; 2.166.332 
1721;27-12-2025;MKT004;Administración;Servicios; 1.482.889 
1722;16-04-2025;MKT003;Personal;Bonos; 3.000.382 
1723;22-03-2025;INM003;Personal;Bonos; 1.099.226 
1724;07-03-2025;MKT004;Administración;Arriendos; 1.633.461 
1725;13-10-2025;OPE005;Personal;Bonos; 2.459.068 
1726;26-12-2025;INM002;Personal;Bonos; 4.222.180 
1727;16-01-2025;OPE002;Personal;Sueldos; 4.959.668 
1728;10-06-2025;OPE004;Administración;Servicios; 1.473.536 
1729;02-11-2025;OPE001;Personal;Sueldos; 3.762.979 
1730;14-01-2025;MKT005;Activo Fijo;Infraestructura; 1.514.220 
1731;26-01-2025;INM002;Administración;Servicios; 2.974.622 
